"contest_id","year","party","endorsee","endorser_name","endorser_description","endorser_party_note","state","district","date_raw","note","switch_direction","switch_candidate","evidence_url","parsed_ok","raw_text"
"2008D",2008,"D","OBAMA","Atlanta Journal-Constitution","Newspaper",,,,"01/20/08",,,,,TRUE,"Atlanta Journal-Constitution (01/20/08)"
"2008D",2008,"D","OBAMA","Atlanta Daily World","Newspaper - Specialty",,,,"01/25/08",,,,,TRUE,"Atlanta Daily World (01/25/08)"
"2008R",2008,"R","McCAIN","The Albany Herald","Newspaper",,,,"02/03/08",,,,,TRUE,"The Albany Herald (02/03/08)"
"2008R",2008,"R","McCAIN","Marietta Daily Journal","Newspaper",,,,"02/03/08",,,,,TRUE,"Marietta Daily Journal (02/03/08)"
"2008R",2008,"R","McCAIN","Savannah Morning News","Newspaper",,,,"01/31/08",,,,,TRUE,"Savannah Morning News (01/31/08)"
"2008R",2008,"R","ROMNEY","Atlanta Journal-Constitution","Newspaper",,,,"01/27/08",,,,,TRUE,"Atlanta Journal-Constitution (01/27/08)"
"2008D",2008,"D","OBAMA","Chicago Sun-Times","Newspaper",,,,"02/01/08",,,,,TRUE,"Chicago Sun-Times (02/01/08)"
"2008D",2008,"D","OBAMA","Chicago Tribune","Newspaper",,,,"01/27/08",,,,,TRUE,"Chicago Tribune (01/27/08)"
"2008D",2008,"D","OBAMA","Belleville News Democrat","Newspaper",,,,"01/27/08",,,,,TRUE,"Belleville News Democrat (01/27/08)"
"2008D",2008,"D","OBAMA","Daily Herald","Newspaper",,,,"01/20/08","Arlington Heights",,,,TRUE,"Daily Herald [Arlington Heights] (01/20/08)"
"2008D",2008,"D","OBAMA","Peoria Journal","Newspaper",,,,"02/03/08",,,,,TRUE,"Peoria Journal (02/03/08)"
"2008D",2008,"D","OBAMA","Rockford Register Star","Newspaper",,,,"02/02/08",,,,,TRUE,"Rockford Register Star (02/02/08)"
"2008D",2008,"D","OBAMA","Chicago Defender","Newspaper - Specialty",,,,"02/01/08",,,,,TRUE,"Chicago Defender (02/01/08)"
"2008D",2008,"D","OBAMA","Hoy","Newspaper - Specialty",,,,"02/01/08",,,,,TRUE,"Hoy (02/01/08)"
"2008R",2008,"R","McCAIN","Chicago Sun-Times","Newspaper",,,,"02/03/08",,,,,TRUE,"Chicago Sun-Times (02/03/08)"
"2008R",2008,"R","McCAIN","Chicago Tribune","Newspaper",,,,"01/27/08",,,,,TRUE,"Chicago Tribune (01/27/08)"
"2008R",2008,"R","McCAIN","Daily Herald","Newspaper",,,,"01/21/08","Arlington Heights",,,,TRUE,"Daily Herald [Arlington Heights] (01/21/08)"
"2008R",2008,"R","McCAIN","Peoria Journal","Newspaper",,,,"02/02/08",,,,,TRUE,"Peoria Journal (02/02/08)"
"2008R",2008,"R","McCAIN","Hoy","Newspaper",,,,"02/01/08",,,,,TRUE,"Hoy (02/01/08)"
"2008D",2008,"D","CLINTON","Worcester Telegram & Gazette","Newspaper",,,,"01/27/08",,,,,TRUE,"Worcester Telegram & Gazette (01/27/08)"
"2008D",2008,"D","CLINTON","Cape Cod Times","Newspaper",,,,"01/29/08",,,,,TRUE,"Cape Cod Times (01/29/08)"
"2008D",2008,"D","OBAMA","Daily News Tribune","Newspaper",,,,"01/27/08","Waltham",,,,TRUE,"Daily News Tribune [Waltham] (01/27/08)"
"2008D",2008,"D","OBAMA","The Springfield Republican","Newspaper",,,,"01/12/08",,,,,TRUE,"The Springfield Republican (01/12/08)"
"2008D",2008,"D","OBAMA","Harvard Crimson","Newspaper - Specialty",,,,"01/18/08",,,,,TRUE,"Harvard Crimson (01/18/08)"
"2008D",2008,"D","OBAMA","Bay State Banner","Newspaper - Specialty",,,,"01/17/08",,,,,TRUE,"Bay State Banner (01/17/08)"
