contest_id,year,party,endorsee,endorser_name,endorser_description,endorser_party_note,state,district,date_raw,note,switch_direction,switch_candidate,evidence_url,parsed_ok,raw_text
2008R,2008,R,McCain,Joe Wilson,U.S. Representative,,SC,2,"Jan. 22, 2008",,,,,TRUE,"U.S. Rep. Joe Wilson (SC-2) (Jan. 22, 2008)"
2008R,2008,R,McCain,Tom Davis,U.S. Representative,,VA,11,"Jan. 15, 2008",,,,,TRUE,"U.S. Rep. Tom Davis (VA-11) (Jan. 15, 2008)"
2008R,2008,R,Romney,Matt Blunt,Governor,,MO,,"Dec. 5, 2006",,,,,TRUE,"Gov. Matt Blunt (MO) (Dec. 5, 2006)"
2008R,2008,R,Romney,Dave Heineman,Governor,,NE,,"Dec. 13, 2007",,,,,TRUE,"Gov. Dave Heineman (NE) (Dec. 13, 2007)"
2008R,2008,R,Romney,Don Carcieri,Governor,,RI,,"Mar. 13, 2007",,,,,TRUE,"Gov. Don Carcieri (RI) (Mar. 13, 2007)"
2008R,2008,R,Romney,Lisa Murkowski,U.S. Senator,,AK,,"Feb. 2, 2008",,,,,TRUE,"U.S. Sen. Lisa Murkowski (AK) (Feb. 2, 2008)"
2008R,2008,R,Romney,Wayne Allard,U.S. Senator,,CO,,"Apr. 16, 2007",,,,,TRUE,"U.S. Sen. Wayne Allard (CO) (Apr. 16, 2007)"
2008R,2008,R,Romney,Larry Craig,U.S. Senator,,ID,,"Feb. 8, 2007","[Craig resigned campaign position Sept. 1, 2007]",,,,TRUE,"U.S. Sen. Larry Craig (ID) (Feb. 8, 2007)"
2008R,2008,R,Romney,Thad Cochran,U.S. Senator,,MS,,"Jan. 23, 2008",previously backed FThompson,,,,TRUE,"U.S. Sen. Thad Cochran (MS) (Jan. 23, 2008; previously backed FThompson)"
2008R,2008,R,Romney,Judd Gregg,U.S. Senator,,NH,,"Oct. 29, 2007",,,,,TRUE,"U.S. Sen. Judd Gregg (NH) (Oct. 29, 2007)"
2008R,2008,R,Romney,Jim DeMint,U.S. Senator,,SC,,"Jan. 9, 2007",,,,,TRUE,"U.S. Sen. Jim DeMint (SC) (Jan. 9, 2007)"
2008R,2008,R,Romney,Bob Bennett,U.S. Senator,,UT,,"Feb. 8, 2007",,,,,TRUE,"U.S. Sen. Bob Bennett (UT) (Feb. 8, 2007)"
2008R,2008,R,Romney,Orrin Hatch,U.S. Senator,,UT,,"Mar. 19, 2007",,,,,TRUE,"U.S. Sen. Orrin Hatch (UT) (Mar. 19, 2007)"
2008R,2008,R,Romney,Mike Rogers,U.S. Representative,,AL,3,,,,,,TRUE,U.S. Rep. Mike Rogers (AL-3)
2008R,2008,R,Romney,Robert B. Aderholt,U.S. Representative,,AL,4,"Feb. 6, 2007",,,,,TRUE,"U.S. Rep. Robert B. Aderholt (AL-4) (Feb. 6, 2007)"
2008R,2008,R,Romney,Wally Herger,U.S. Representative,,CA,2,"Dec. 21, 2007",,,,,TRUE,"U.S. Rep. Wally Herger (CA-2) (Dec. 21, 2007)"
2008R,2008,R,Romney,"Howard ""Buck"" McKeon",U.S. Representative,,CA,25,"Jan. 17, 2007",,,,,TRUE,"U.S. Rep. Howard ""Buck"" McKeon (CA-25) (Jan. 17, 2007)"
2008R,2008,R,Romney,Dana Rohrabacher,U.S. Representative,,CA,46,"Jan. 22, 2008",,,,,TRUE,"U.S. Rep. Dana Rohrabacher (CA-46) (Jan. 22, 2008)"
2008R,2008,R,Romney,John Campbell,U.S. Representative,,CA,48,,,,,,TRUE,U.S. Rep. John Campbell (CA-48)
2008R,2008,R,Romney,Brian Bilbray,U.S. Representative,,CA,50,"Jan. 31, 2007",,,,,TRUE,"U.S. Rep. Brian Bilbray (CA-50) (Jan. 31, 2007)"
2008R,2008,R,Romney,Tom Tancredo,U.S. Representative,,CO,6,"Dec. 20, 2007",,,,,TRUE,"U.S. Rep. Tom Tancredo (CO-6) (Dec. 20, 2007)"
2008R,2008,R,Romney,Ander Crenshaw,U.S. Representative,,FL,4,"Jan. 21, 2008",,,,,FALSE,"U.S. Rep Ander Crenshaw (FL-4) (Jan. 21, 2008)"
2008R,2008,R,Romney,Ginny Brown-Waite,U.S. Representative,,FL,5,,,,,,TRUE,U.S. Rep. Ginny Brown-Waite (FL-5)
2008R,2008,R,Romney,Connie Mack,U.S. Representative,,FL,14,"Oct. 17, 2007",,,,,TRUE,"U.S. Rep. Connie Mack (FL-14) (Oct. 17, 2007)"
2008R,2008,R,Romney,Tom Feeney,U.S. Representative,,FL,24,"Jan. 19, 2007",,,,,TRUE,"U.S. Rep. Tom Feeney (FL-24) (Jan. 19, 2007)"
2008R,2008,R,Romney,Jack Kingston,U.S. Representative,,GA,1,"Dec. 18, 2007",,,,,TRUE,"U.S. Rep. Jack Kingston (GA-1) (Dec. 18, 2007)"
2008R,2008,R,Romney,Lynn Westmoreland,U.S. Representative,,GA,3,"Jan. 31, 2008",,,,,TRUE,"U.S. Rep. Lynn Westmoreland (GA-3) (Jan. 31, 2008)"
2008R,2008,R,Romney,Tom Price,U.S. Representative,,GA,6,,,,,,TRUE,U.S. Rep. Tom Price (GA-6)
2008R,2008,R,Romney,John Linder,U.S. Representative,,GA,7,"Feb. 6, 2007",,,,,TRUE,"U.S. Rep. John Linder (GA-7) (Feb. 6, 2007)"
2008R,2008,R,Romney,Phil Gingrey,U.S. Representative,,GA,11,,,,,,TRUE,U.S. Rep. Phil Gingrey (GA-11)
2008R,2008,R,Romney,Mike Simpson,U.S. Representative,,ID,2,,,,,,TRUE,U.S. Rep. Mike Simpson (ID-2)
2008R,2008,R,Romney,Dennis Hastert,"U.S. Representative, Former Speaker",,IL,14,"Jan. 23, 2007","*Hastert resigned effective Nov. 26, 2007.",,,http://p2008.org/cands08/endorse/enddh012307.html,TRUE,"U.S. Rep. and Former Speaker Dennis Hastert (IL-14)* (Jan. 23, 2007) +"
2008R,2008,R,Romney,Ed Whitfield,U.S. Representative,,KY,1,"Feb. 2, 2007",,,,,TRUE,"U.S. Rep. Ed Whitfield (KY-1) (Feb. 2, 2007)"
2008R,2008,R,Romney,Ron Lewis,U.S. Representative,,KY,2,"Feb. 2, 2007",,,,,TRUE,"U.S. Rep. Ron Lewis (KY-2) (Feb. 2, 2007)"
